Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,emission_types
Covel Gardens Recycling and Disposal Facility,San Antonio,Texas,78252,8611 Covel Road,BEXAR COUNTY,29.34358,-98.64637,562212,"C,HH",Waste,302873.25,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Stationary Combustion<br>Municipal Landfills
Covestro LLC,Baytown,Texas,77523,8500 West Bay Road,CHAMBERS COUNTY,29.759767,-94.907294,325211,C,Other,56825.636,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion
Cowlitz County Headquarters Landfill,Castle Rock,Washington,98611,3434 South Silver Lake Road,COWLITZ COUNTY,46.248725,-122.778109,562212,"C,HH",Waste,221987.472,Total reported direct emissions<br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Municipal Landfills
Coyanosa Gas Plant,Coyanosa,Texas,79730,4259 Mobil Road,PECOS COUNTY,31.190833,-102.989444,211130,"C,W-PROC",Petroleum and Natural Gas Systems,30438.518,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Processing
Coyote,BEULAH,North Dakota,58523,6240 13TH ST SW,Mercer,47.2217,-101.8139,221112,"C,D",Power Plants,2660682.146,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
Coyote Springs,BOARDMAN,Oregon,97818,200 ULLMAN BLVD,Morrow,45.8486,-119.6744,221112,"C,D",Power Plants,1265675.76,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
Craig,CRAIG,Colorado,81626,2101 S RANNEY,Moffat,40.4627,-107.5912,221112,"C,D",Power Plants,7711959.414,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
Craven County Wood Energy,New Bern,North Carolina,28562,201 Executive Parkway,CRAVEN COUNTY,35.1285,-77.17,221117,D,Power Plants,4546.564,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Electricity Generation
Cree RTP,Durham,North Carolina,27709,3028 E. Cornwallis Road,DURHAM COUNTY,35.91704,-78.87028,334413,"C,I",Other,166134.117501,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>HFC emissions<br>PFC emissions<br>SF6 emissions <br>NF3 emissions<br>Other Fully Fluorinated GHG emissions<br>Stationary Combustion<br>Electronics Manufacture
"Cree, Inc",Durham,North Carolina,27703,4600 Silicon Dr.,DURHAM COUNTY,35.899298,-78.840802,334413,"C,I",Other,99631.79794,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>HFC emissions<br>PFC emissions<br>SF6 emissions <br>NF3 emissions<br>Other Fully Fluorinated GHG emissions<br>Stationary Combustion<br>Electronics Manufacture
Crescent Gas Plant,Crescent,Oklahoma,73028,15100 Cooksey Rd.,LOGAN COUNTY,35.904559,-97.615688,211130,"C,W-PROC",Petroleum and Natural Gas Systems,41100.034,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Processing
Crete Energy Park,CRETE,Illinois,60417,25400 HARTMAN DRIVE,Will,41.4297,-87.6187,221112,"C,D",Power Plants,27070.0,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
Cricket Valley Energy Center,DOVER PLAINS,New York,12522,2241 Route 22,DUTCHESS COUNTY,41.67616,-73.576914,221112,"C,D",Power Plants,1570811.832,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
Crisp County Landfill,Cordele,Georgia,31015,3354 South Hwy 41 ,CRISP COUNTY,31.955481,-83.7778,562212,HH,Waste,50250.75,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
Croda Inc,New Castle,Delaware,19720,315 Cherry Lane,NEW CASTLE COUNTY,39.68963,-75.54234,325613,C,Chemicals,34264.8,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion
Cromwell,Cromwell,Connecticut,6416,252 Shunpike Road,MIDDLESEX COUNTY,41.63214,-72.673458,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,65395.56,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Transmission/Compression
Crooked Creek Mine,Indiana,Pennsylvania,15701,1875 Creekside Road,INDIANA COUNTY,40.664816,-79.245351,212112,FF,Other,54335.0,Total reported direct emissions<br>Methane (CH4) emissions <br>Underground Coal Mines
Cross,PINEVILLE,South Carolina,29468,553 CROSS STATION ROAD,Berkeley,33.3692,-80.1119,221112,D,Power Plants,6661464.98,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Electricity Generation
Crossroads Energy Center (CPU),CLARKSDALE,Mississippi,38614,240 HICKS ST,Coahoma,34.183,-90.5621,221112,D,Power Plants,85115.084,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Electricity Generation
Croton Landfill,Croton-on-Hudson,New York,10520,1 Half Moon Bay Drive (Croton Point Park),WESTCHESTER COUNTY,41.19521,-73.88813,562212,"C,HH",Waste,27790.25,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Stationary Combustion<br>Municipal Landfills
